C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/02/23,13:00:02,0000000381426802,DEMAND,0000000381426802
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",NSW1,2170.351,1,MEASUREMENT,"2023/02/23 12:49:30"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",QLD1,2327.922,1,MEASUREMENT,"2023/02/23 12:49:30"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",QLDC,202.652,1,MEASUREMENT,"2023/02/23 12:49:30"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",QLDN,400.104,1,MEASUREMENT,"2023/02/23 12:49:31"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",QLDS,1725.166,1,MEASUREMENT,"2023/02/23 12:49:31"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",SA1,1350.263,1,MEASUREMENT,"2023/02/23 12:49:31"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",TAS1,146.731,1,MEASUREMENT,"2023/02/23 12:49:31"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",TASN,74.008,1,MEASUREMENT,"2023/02/23 12:49:31"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",TASS,72.685,0.7,MEASUREMENT,"2023/02/23 12:49:31"
D,ROOFTOP,ACTUAL,2,"2023/02/23 12:30:00",VIC1,2434.887,1,MEASUREMENT,"2023/02/23 12:49:31"
C,"END OF REPORT",13
